type,epoch,loss,eval_metrics
train,0.01682,11.96,
train,0.03364,4.564,
train,0.05046,1.668,
train,0.06728,0.3957,
train,0.0841,0.3791,
train,0.1009,0.3239,
train,0.1177,0.3122,
train,0.1346,0.3051,
train,0.1514,0.319,
train,0.1682,0.2694,
train,0.185,0.2705,
train,0.2019,0.2712,
train,0.2187,0.2534,
train,0.2355,0.2441,
train,0.2523,0.2316,
train,0.2691,0.2671,
train,0.286,0.2324,
train,0.3028,0.2539,
train,0.3196,0.2604,
train,0.3364,0.2792,
train,0.3532,0.241,
train,0.3701,0.2313,
train,0.3869,0.2248,
train,0.4037,0.2378,
train,0.4205,0.2241,
train,0.4373,0.2194,
train,0.4542,0.2365,
train,0.471,0.2349,
train,0.4878,0.1871,
train,0.5046,0.1853,
train,0.5214,0.2084,
train,0.5383,0.2056,
train,0.5551,0.1885,
train,0.5719,0.2091,
train,0.5887,0.2094,
train,0.6056,0.2014,
train,0.6224,0.1973,
train,0.6392,0.2137,
train,0.656,0.1941,
train,0.6728,0.1847,
train,0.6897,0.1771,
train,0.7065,0.2143,
train,0.7233,0.1874,
train,0.7401,0.1821,
train,0.7569,0.1951,
train,0.7738,0.1938,
train,0.7906,0.1752,
train,0.8074,0.17,
train,0.8242,0.1954,
train,0.841,0.1807,
train,0.8579,0.1699,
train,0.8747,0.1781,
train,0.8915,0.1587,
train,0.9083,0.1683,
train,0.9251,0.1689,
train,0.942,0.1628,
train,0.9588,0.1773,
train,0.9756,0.1793,
train,0.9924,0.1889,
train,1.009,0.1483,
train,1.026,0.1413,
train,1.043,0.1646,
train,1.06,0.1468,
train,1.076,0.1484,
train,1.093,0.1506,
train,1.11,0.1394,
train,1.127,0.1579,
train,1.144,0.1479,
train,1.16,0.1551,
train,1.177,0.1459,
train,1.194,0.1307,
train,1.211,0.14,
train,1.228,0.1242,
train,1.245,0.1396,
train,1.261,0.1287,
train,1.278,0.1349,
train,1.295,0.1357,
train,1.312,0.1237,
train,1.329,0.1497,
train,1.346,0.1419,
train,1.362,0.1557,
train,1.379,0.1379,
train,1.396,0.14,
train,1.413,0.1278,
train,1.43,0.1336,
train,1.446,0.1308,
train,1.463,0.1472,
train,1.48,0.129,
train,1.497,0.1367,
train,1.514,0.1397,
train,1.531,0.1497,
train,1.547,0.1458,
train,1.564,0.1414,
train,1.581,0.1548,
train,1.598,0.1548,
train,1.615,0.1497,
train,1.631,0.1619,
train,1.648,0.143,
train,1.665,0.1334,
train,1.682,0.1357,
train,1.699,0.1367,
train,1.716,0.1577,
train,1.732,0.153,
train,1.749,0.1538,
train,1.766,0.1383,
train,1.783,0.1331,
train,1.8,0.1348,
train,1.816,0.1303,
train,1.833,0.134,
train,1.85,0.1373,
train,1.867,0.145,
train,1.884,0.1245,
train,1.901,0.1477,
train,1.917,0.1327,
train,1.934,0.1544,
train,1.951,0.1256,
train,1.968,0.1415,
train,1.985,0.149,
eval,0.1682,0.06425,"cer=0.1281,wer=0.3978"
eval,0.3364,0.05164,"cer=0.1238,wer=0.3978"
eval,0.5046,0.04659,"cer=1.509,wer=1.069"
eval,0.6728,0.04248,"cer=0.1855,wer=0.4155"
eval,0.841,0.03845,"cer=0.1097,wer=0.3531"
eval,1.009,0.03849,"cer=0.7486,wer=0.642"
eval,1.177,0.03688,"cer=0.1691,wer=0.3939"
eval,1.346,0.03563,"cer=0.6312,wer=0.5935"
eval,1.514,0.03465,"cer=0.3743,wer=0.5335"
eval,1.682,0.03444,"cer=0.2505,wer=0.445"
eval,1.85,0.03408,"cer=0.326,wer=0.5106"
eval,2,0.03389,"cer=0.4729,wer=0.5746"
